country,name,longName,foundingDate,population,capital,largestCity,area
1168,Bukhara fohvh,,,,Bukhar,,
1169,Córdob,,,,"Córdoba, Andalus",,
1170,Cret,,,,Heraklion,,
1171,Diriyah,,,,Diriyah,,
1172,Granad,,,,Granad,,
1173,Nejd,,,,Ha',,
1174,Nejd,,,,Riyadh Region,,
1175,Nejd,,1/13/1902,,Riyadh,,
1176,Sicily,,,,Palermo,,
1177,Transjord,,4/11/1921,,Amman,,
1178,Trarz,,,,Mederdr,,
1179,Trarz,,,,Rosso,,
1180,Atlantiu,Empire of Atlantiu,11/27/1981,,,,0.76km
1181,Brazil,,1822-10-12,,Rio de Janeiro,,
1182,Chi,,12/12/1915,,Beijing,,
1183,Great Fulo,,,,Anyam-Godo,,
1184,Empire of Harsh,,,,Kannauj,,
1185,Imperial Jap,,1868-01-03,,Tokyo,,
1186,Nic,,,,Kemalpaş,,
1187,Nic,,,,Nicae,,
1188,Thessalonic,,,,Thessalonik,,
1189,Trebizond,,,,Trabzon,,
1190,Viet,,3/11/1945,,Huế,,
1191,Viet,,3/11/1945,,Hano,,
1192,,,7/1/2006,,,,
1193,Engelberg Abbey,,,,,,
1194,Spai,,1700-11-01,,Madrid,,
1195,Ennar,,,,,,
1196,Epirus,,,,Ambr,,
1197,Epirus,,,,Passaron,,
1198,Epirus,,,,Phoenice,,
1199,Utrecht,,,,Utrech,,
1200,Equatorial Gui,Republic of Equatorial Gui,10/12/1968,1,Malabo,"Bata, Equatorial Guin",10830mi
1201,Eretnids,,,,Kayser,,
1202,Eretnids,,,,Sivas,,
1203,Eritr,State of Eritr,,6380803,Asmar,,45405mi
1204,Eriv,,,,Yerevan,,
1205,Eshnu,,,,,,
1206,Eshrefids,,,,Beyşehir,,
1207,Santo Domingo,,,,Santo Domingo,,
1208,Essen Abbey,,,,,,
1209,Essequibo,,,,Fort Zeelandia (Guyana),,
1210,Essequibo,,,,Fort Kyk-Over-A,,
1211,Portugal,,3/19/1933,,Lisbon,,
1212,Estoni,Republic of Estoni,,1311759,Tallinn,,17505mi
1213,Estonian SSR,,7/21/1940,,Tallinn,,
1214,Ethiopi,Federal Democratic Republic of Ethiopi,,99465819,Addis Abab,,426371mi
1215,Ethiopi,,,,Addis Abab,,
1216,Etruscan civilizatio,,,,Volsin,,
1217,Ettaiyapuram estat,,,,Ettayapuram,,
1218,,,,,,,
1219,Eurasian Economic Community,,10/10/2000,,Moscow,,
1220,Eurasian Economic Unio,,10/10/2000,183319693,,Moscow,7810557mi
1221,Belgiu,Franc,,,,,
1222,Belgiu,Ireland,,,,,
1223,Belgiu,Luxembour,,,,,
1224,Belgiu,therlands,,,,,
1225,Belgiu,San Mari,,,,,
1226,Belgiu,Slovaki,,,,,
1227,Belgiu,Federal Republic of Germany,,,,,
1228,Belgiu,Hellenic Republic,,,,,
1229,Belgiu,Kingdom of Belgiu,,,,,
1230,Belgiu,Kingdom of Spai,,,,,
1231,Belgiu,Principality of Monac,,,,,
1232,Belgiu,Republic of Cyprus,,,,,
1233,Belgiu,Republic of Finland,,,,,
1234,Belgiu,Republic of Malt,,,,,
1235,Belgiu,Republic of Sloveni,,,,,
1236,Belgiu,State of the Vatican City,,,,,
1237,Belgiu,Republic of Estoni,,,,,
1238,Cyprus,Franc,,,,,
1239,Cyprus,Ireland,,,,,
1240,Cyprus,Luxembour,,,,,
1241,Cyprus,therlands,,,,,
1242,Cyprus,San Mari,,,,,
1243,Cyprus,Slovaki,,,,,
1244,Cyprus,Federal Republic of Germany,,,,,
1245,Cyprus,Hellenic Republic,,,,,
1246,Cyprus,Kingdom of Belgiu,,,,,
1247,Cyprus,Kingdom of Spai,,,,,
1248,Cyprus,Principality of Monac,,,,,
1249,Cyprus,Republic of Cyprus,,,,,
1250,Cyprus,Republic of Finland,,,,,
1251,Cyprus,Republic of Malt,,,,,
1252,Cyprus,Republic of Sloveni,,,,,
1253,Cyprus,State of the Vatican City,,,,,
1254,Cyprus,Republic of Estoni,,,,,
1255,Finland,Franc,,,,,
1256,Finland,Ireland,,,,,
1257,Finland,Luxembour,,,,,
1258,Finland,therlands,,,,,
1259,Finland,San Mari,,,,,
1260,Finland,Slovaki,,,,,
1261,Finland,Federal Republic of Germany,,,,,
1262,Finland,Hellenic Republic,,,,,
1263,Finland,Kingdom of Belgiu,,,,,
1264,Finland,Kingdom of Spai,,,,,
1265,Finland,Principality of Monac,,,,,
1266,Finland,Republic of Cyprus,,,,,
1267,Finland,Republic of Finland,,,,,
1268,Finland,Republic of Malt,,,,,
1269,Finland,Republic of Sloveni,,,,,
1270,Finland,State of the Vatican City,,,,,
1271,Finland,Republic of Estoni,,,,,
1272,Malt,Franc,,,,,
1273,Malt,Ireland,,,,,
1274,Malt,Luxembour,,,,,
1275,Malt,therlands,,,,,
1276,Malt,San Mari,,,,,
1277,Malt,Slovaki,,,,,
1278,Malt,Federal Republic of Germany,,,,,
1279,Malt,Hellenic Republic,,,,,
1280,Malt,Kingdom of Belgiu,,,,,
1281,Malt,Kingdom of Spai,,,,,
1282,Malt,Principality of Monac,,,,,
1283,Malt,Republic of Cyprus,,,,,
1284,Malt,Republic of Finland,,,,,
1285,Malt,Republic of Malt,,,,,
1286,Malt,Republic of Sloveni,,,,,
1287,Malt,State of the Vatican City,,,,,
1288,Malt,Republic of Estoni,,,,,
1289,Monaco,Franc,,,,,
1290,Monaco,Ireland,,,,,
1291,Monaco,Luxembour,,,,,
1292,Monaco,therlands,,,,,
1293,Monaco,San Mari,,,,,
1294,Monaco,Slovaki,,,,,
1295,Monaco,Federal Republic of Germany,,,,,
1296,Monaco,Hellenic Republic,,,,,
1297,Monaco,Kingdom of Belgiu,,,,,
1298,Monaco,Kingdom of Spai,,,,,
1299,Monaco,Principality of Monac,,,,,
1300,Monaco,Republic of Cyprus,,,,,
1301,Monaco,Republic of Finland,,,,,
1302,Monaco,Republic of Malt,,,,,
1303,Monaco,Republic of Sloveni,,,,,
1304,Monaco,State of the Vatican City,,,,,
1305,Monaco,Republic of Estoni,,,,,
1306,Sloveni,Franc,,,,,
1307,Sloveni,Ireland,,,,,
1308,Sloveni,Luxembour,,,,,
1309,Sloveni,therlands,,,,,
1310,Sloveni,San Mari,,,,,
1311,Sloveni,Slovaki,,,,,
1312,Sloveni,Federal Republic of Germany,,,,,
1313,Sloveni,Hellenic Republic,,,,,
1314,Sloveni,Kingdom of Belgiu,,,,,
1315,Sloveni,Kingdom of Spai,,,,,
1316,Sloveni,Principality of Monac,,,,,
1317,Sloveni,Republic of Cyprus,,,,,
1318,Sloveni,Republic of Finland,,,,,
1319,Sloveni,Republic of Malt,,,,,
1320,Sloveni,Republic of Sloveni,,,,,
1321,Sloveni,State of the Vatican City,,,,,
1322,Sloveni,Republic of Estoni,,,,,
1323,Vatican City,Franc,,,,,
1324,Vatican City,Ireland,,,,,
1325,Vatican City,Luxembour,,,,,
1326,Vatican City,therlands,,,,,
1327,Vatican City,San Mari,,,,,
1328,Vatican City,Slovaki,,,,,
1329,Vatican City,Federal Republic of Germany,,,,,
1330,Vatican City,Hellenic Republic,,,,,
1331,Vatican City,Kingdom of Belgiu,,,,,
1332,Vatican City,Kingdom of Spai,,,,,
1333,Vatican City,Principality of Monac,,,,,
1334,Vatican City,Republic of Cyprus,,,,,
1335,Vatican City,Republic of Finland,,,,,
1336,Vatican City,Republic of Malt,,,,,
1337,Vatican City,Republic of Sloveni,,,,,
1338,Vatican City,State of the Vatican City,,,,,
1339,Vatican City,Republic of Estoni,,,,,
1340,Belgiu,Kingdom of Belgiu,,,,,
1341,Cyprus,Republic of Cyprus,,,,,
1342,,Republic of Estoni,,,,,
1343,,Republic of Finland,,,,,
1344,,,,,,,
1345,,Federal Republic of Germany,,,,,
1346,,Hellenic Republic,,,,,
1347,,Ireland,,,,,
1348,,Luxembour,,,,,
1349,Malt,Republic of Malt,,,,,
1350,Monaco,Principality of Monac,,,,,
1351,,San Mari,,,,,
1352,Slovaki,Slovak Republic,,,,,
1353,Sloveni,Republic of Sloveni,,,,,
1354,,Kingdom of Spai,,,,,
1355,Vatican City,State of the Vatican City,,,,,
1356,,Europa Island,,,,,
1357,,,1/1/1958,,,,
1358,,,7/1/1967,,,,
1359,ECSC,,7/23/1952,,,,
1360,EEC/ECM,,1/1/1958,,Strasbourg,,
1361,EEC/ECM,,1/1/1958,,Brussels,,
1362,EEC/ECM,,1/1/1958,,Luxembourg City,,
1363,,European Free Trade Associati,1/4/1960,13589956,,,204518mi
1364,,European Free Trade Associati,5/3/1960,13589956,,,204518mi
1365,,ERA - European Rental Associati,,,,,
1366,,,1/1/1958,508191116,Brussels,,4324782km
1367,,,11/1/1993,508191116,Brussels,,4324782km
1368,Falkland Islands,Falkland Islands,,2932,"Stanley, Falkland Islands",,4700mi
1369,Falkland Islands Dependencies,,,,"Stanley, Falkland Islands",,
1370,Far Eastern Republic,,4/6/1920,,Ulan-Ude,,
1371,Far Eastern Republic,,4/6/1920,,"Chita, Zabaykalsky Kr",,
1372,Faroe Islands,Faroe Islands,1814-01-14,49709,Tórshavn,,540mi
1373,Fatimid Caliphat,,0909-01-05,,El-Mansuriy,,
1374,Fatimid Caliphat,,0909-01-05,,Cairo,,
1375,Fatimid Caliphat,,0909-01-05,,"Mahdia, Tunis",,
1376,Fatimid Caliphat,,0909-01-05,,Raqqad,,
1377,,Somali,8/20/2012,,Mogadishu,,
1378,Central Americ,,1823-07-01,,Guatemala City,,
1379,Central Americ,,1823-07-01,,San Salvador,,
1380,Austri,,5/1/1934,,Vienn,,
1381,Federated Malay States,,,,Kuala Lumpur,,
1382,the Federated States of Micronesi,Federated States of Micronesi,11/3/1986,106104,Palikir,Weno,271mi
1383,Arab Emirates of the South,,2/11/1959,,,,
1384,Federation of Arab Republics,,1/1/1972,,Tripo,,
1385,Federation of Arab Republics,,1/1/1972,,Cairo,,
1386,Federation of Arab Republics,,1/1/1972,,Damascus,,
1387,Federation of Bosnia and Herzegovi,Federation of Bosnia and Herzegovi,3/18/1994,2371603,Sarajevo,,10085mi
1388,Federation of Bosnia and Herzegovi,Federation of Bosnia and Herzegovi,12/14/1995,2371603,Sarajevo,,10085mi
1389,Ethiopia and Eritr,,9/15/1952,,Addis Abab,,
1390,Malay,,2/1/1948,,Kuala Lumpur,,
1391,Nigeri,,10/1/1960,,,,
1392,Rhodesia and Nyasaland,,8/1/1953,,Harare,,
1393,South Arabi,,4/4/1962,,Colony of Aden,,
1394,Fezzan-Ghadames,,1/12/1943,,"Sabha, Liby",,
1395,"Purmerend, Purmerland and Ilpend",,,,Purmerend,,
1396,South Kor,,3/3/1981,,,,
1397,Fiji,Republic of Fiji,10/10/1970,858038,Suv,Suv,7056mi
1398,Fiji,Republic of Fiji,10/7/1987,858038,Suv,Suv,7056mi
1399,Finland,Republic of Finland,1809-03-29,5486125,Helsink,,130596mi
1400,Finland,Republic of Finland,12/6/1917,5486125,Helsink,,130596mi
1401,Finnish Democratic Republic,,12/1/1939,,"Zelenogorsk, Saint Petersburg",,
1402,Finnish Democratic Republic,,12/1/1939,,Helsink,,
1403,Finnish Socialist Workers' Republic,,1/29/1918,,Helsink,,
1404,Austri,,10/21/1919,,,,
1405,Paleo-Babylonian Empir,,,,Babylon,,
1406,Brazil,,1889-11-15,,Rio de Janeiro,,
1407,Bulgari,,,,Ohrid,,
1408,Bulgari,,,,Skopje,,
1409,Bulgari,,,,Veliki Preslav,,
1410,Bulgari,,,,Plisk,,
1411,Czechoslovaki,,10/28/1918,,Prague,,
1412,East Turkest,,11/12/1933,,Kashgar,,
1413,Haiti,,1804-09-22,,,,
1414,Franc,,1804-05-18,,,,
1415,Hellenic Republic,,1822-01-01,,Nafplio,,
1416,Hungary,,11/16/1918,,Budapes,,
1417,First Intermediate Period of Egypt,,,,Seventh and Eighth Dynasties of Egy,,
1418,First Intermediate Period of Egypt,,,,Ninth Dynasty of Egy,,
1419,First Intermediate Period of Egypt,,,,"Memphis, Egy",,
1420,First Intermediate Period of Egypt,,,,"Thebes, Egy",,
1421,First Intermediate Period of Egypt,,,,Eleventh Dynasty of Egy,,
1422,First Intermediate Period of Egypt,,,,Tenth Dynasty of Egy,,
1423,First Intermediate Period of Egypt,,,,Heracleopolis Magn,,
1424,Mexico,,1821-07-21,,Mexico City,,
1425,Mexico,,1823-11-01,,Mexico City,,
1426,Philippine Republic,,1899-01-23,,Bulacan,,
1427,Philippine Republic,,1899-01-23,,Malolos,,
1428,Portuguese Republic,,10/5/1910,,Lisbon,,
1429,Armeni,,5/28/1918,,Yerevan,,
1430,South Kor,,8/15/1948,,Busan,,
1431,South Kor,,8/15/1948,,Seou,,
1432,Venezuel,,1811-07-05,,"Valencia, Carabobo",,
1433,Spai,,1873-02-11,,Madrid,,
1434,Toungoo Empir,,1510-10-16,,"Bago, Myanmar",,
1435,Toungoo Empir,,1510-10-16,,Taungoo,,
1436,,,1848-03-18,,Milan,,
1437,Former Liang,,,,,,
1438,Former Qi,,0351-03-04,,Taiyuan,,
1439,Former Qi,,0351-03-04,,Chang'an,,
1440,Former Shu,,0907-06-01,,Chengdu,,
1441,Former Y,,0337-11-23,,Ye (ancient China),,
1442,Former Y,,0337-11-23,,Jicheng (Beijing),,
1443,Han Zhao,,,,Linfen,,
1444,Han Zhao,,,,Chang'an,,
1445,Four Oirats,,,,,,
1446,South Kor,,,,,,
1447,Venezuel,,,,,,
1448,Franc,French Republic,,66644000,Paris,pital c,248600mi
1449,Francevill,,1889-08-09,,,,
1450,Kingdom of the Franks,,,,Paris,,
1451,Kingdom of the Franks,,,,Tourn,,
1452,Spai,,10/1/1936,,Burgos,,
1453,Spai,,10/1/1936,,Madrid,,
1454,Frankfurt Constitutio,,1849-03-28,,Free City of Frankfur,,
1455,Frauenchiems,,,,,,
1456,Fraumunster Abbey,,0853-07-21,,,,
1457,Zuid-Polsbroek,,,,Polsbroek,,
1458,Cundinamarc,,,,Bogotá,,
1459,Danzig,,11/15/1920,,Gdańsk,,
1460,Danzig,,1807-09-09,,Gdańsk,,
1461,Frankfurt,,,,,,
1462,Krakow,,1815-05-03,,Kraków,,
1463,Lübeck,,,,Lübeck,,
1464,Franc,,6/18/1940,,History of Paris,,
1465,Ilocos,,1762-12-14,,Vigan,,
1466,Aach,,,,Aachen,,
1467,Besanço,,,,Besançon,,
1468,Kempten im Allgäu,,,,,,
1469,"Nuremberg, City",,,,Nuremberg,,
1470,Ul,,,,,,
1471,Southern Lebano,,4/18/1979,,Marjayoun,,
1472,Schwarzenberg,,5/8/1945,,,,
1473,Wendland,Free Republic of Wendland,5/3/1980,,,,
1474,Bottleneck,,1/10/1919,,"Lorch, Hesse",,
1475,Fiu,,12/30/1920,,Rijek,,
1476,Free Territory,,,,,,
1477,Triest,,2/10/1947,,Trieste,,285mi
1478,Triest,,1/10/1947,,Trieste,,285mi
1479,Christiani,Freetown Christiani,,,,,0.13mi
1480,Freiamt,,,,,,
1481,Saint-Domingu,,1795-07-22,,Santo Domingo,,
1482,Cameroo,,7/20/1920,,,,
1483,Chad,,2/11/1906,,,,
1484,French,,,,,,
1485,French Community,,10/4/1958,,,,
1486,French Congo,,,,Brazzaville,,
1487,French Dahomey,,,,Porto-Novo,,
1488,French Equatorial Afric,,1/15/1910,,Brazzaville,,
1489,Franc,French Republic,10/4/1958,,Paris,,
1490,"France, Republic 1",,1792-09-21,,,,
1491,Franc,,10/14/1946,,,,
1492,Indi,,,,Pondicherry,,
1493,French Indochi,,1887-10-17,,Da L,,
1494,French Indochi,,1887-10-17,,Hano,,
1495,French Indochi,,1887-10-17,,Ho Chi Minh City,,
1496,Madagascar,,1897-02-28,,Antananarivo,,
1497,Malt,,1798-06-11,,Valle,,
1498,French Polynesi,French Polynesi,,,Papeete,F,1609mi
1499,French Morocco,,3/30/1912,,Rab,,
1500,Cambodi,,1863-08-11,,Phnom Penh,,
1501,Laos,,,,Luang Prabang,,
1502,Laos,,,,Vientiane,,
1503,Tunisi,,1881-05-12,,Tunis,,
1504,Franc,,1848-02-23,,,,
1505,Côte française des Somalis,,1896-05-20,,Djibouti (city),,
1506,the French Southern and Antarctic Lands,Territory of the French Southern and Antarctic Lands,,150,"Saint-Pierre, Réunion",,439781km
1507,French Territory of the Afars and the Issas,,7/5/1967,,Djibouti (city),,
1508,Franc,,1870-09-04,,,,
1509,French Togoland,,12/27/1916,,,,
1510,French Unio,,10/27/1946,,,,
1511,French West Afric,,1895-10-27,,Dakar,,
1512,French West Afric,,1895-10-27,,"Saint-Louis, Seneg",,
1513,Frisi,Frisi,,,,,
1514,Frisian kingdo,,,,Utrech,,
1515,Frisian kingdo,,,,Dorestad,,
1516,Fugger,,,,Free imperial city,,
1517,Fugger,,,,Weißenhorn,,
1518,Fujian People's government,,11/22/1933,,,,
1519,Fulda monastery,,,,Fuld,,
1520,Fürstenberg-Fürstenberg,,,,Donaueschingen,,
1521,Gabo,Gabonese Republic,8/17/1960,1475000,Libreville,,103347mi
1522,Gagauzi,Autonomous Territorial Unit of Gagauzia (Gagauz Yeri),12/23/1994,160700,Comr,,707mi
1523,Gajapati Kingdo,,,,Cuttack,,
1524,Halychy,,7/8/1920,,Terno,,
1525,Gallic Empir,,,,Colonia Claudia Ara Agrippinensium,,
1526,Gallic Empir,,,,History of Trier,,
1527,Gallic Empir,,,,Trier,,
1528,Gallic Empir,,,,Cologne,,
1529,Galmudug,Galmudug State of Somali,8/14/2006,,Dhusamareb,Galkayo,146000km
1530,Galuh Kingdo,,,,,,
1531,British Gambi,,1821-10-17,,Banju,,
1532,Ganden Phodrang,,,,Lhas,,
1533,Gandersheim Abbey,,,,,,
1534,Gandhar,,,,,,
1535,Beruas kingdo,,,,Beruas,,
1536,Ganja Khanat,,,,"Ganja, Azerbaijan",,
1537,Gansu Uyghur Kingdo,,,,Dunhuang,,
1538,Garhwal Kingdo,,,,Kirtinagar,,
1539,Garhwal Kingdo,,,,Pratapnagar,,
1540,Garhwal Kingdo,,,,Narendra Nagar,,
1541,Garhwal Kingdo,,,,"Srinagar, Uttarakhand",,
1542,Garhwal Kingdo,,,,Tehr,,
1543,Garhwal Kingdo,,,,Devalgarh,,
1544,Gauda Kingdo,,,,Murshidabad,,
1545,,Gay & Lesbian Kingdom of the Coral Sea Islands,6/14/2004,,Cato Reef,,
1546,Gay,,,,,,
1547,,Gaza Strip,,1850000,,Gaza ,365km
1548,Gazankulu,,,,Giyan,,
1549,Khanat,,,,Kumukh,,
1550,Shamkhalat,,,,Kumukh,,
1551,,,,,,,
1552,Armed Forces of South Russi,,8/31/1918,,,,
1553,General Government,,10/12/1939,,Łódź,,
1554,General Government,,10/12/1939,,Kraków,,
1555,Belgiu,,8/26/1914,,City of Brussels,,
1556,Gengenbach Abbey,,,,,,
1557,,Saint-Pierre and Miqu,,,"Saint-Pierre, Saint Pierre and Miquelon","Saint-Pierre, Saint Pierre and Miquelon",93.4mi
1558,Georgi,Georgi,5/26/1918,3729500,Tbilis,pital c,26911mi
1559,Georgian Soviet Army,,2/25/1921,,,,
1560,Ger,,,,Berlin,,
1561,Germany,,1815-06-08,,Free City of Frankfur,,
1562,East Afric,,1891-02-27,,Bagamoyo,,
1563,East Afric,,1891-02-27,,Dar es Salaam,,
1564,Germany,,1871-01-18,,,,
1565,German-occupied Franc,,6/22/1940,,History of Paris,,
1566,Papua New Gui,,1884-11-03,,Kokopo,,
1567,Papua New Gui,,1884-11-03,,Rabau,,
1568,Samo,,3/1/1900,,A,,
1569,South-West Afric,,1884-08-07,,Windhoek,,
1570,Germany,Federal Republic of Germany,0962-02-02,81459000,Berlin,pital c,137847mi
1571,Germany,Federal Republic of Germany,1815-06-08,81459000,Berlin,pital c,137847mi
1572,Germiy,,,,Kütahy,,
1573,,,0964-03-25,,,,
1574,,,,,Gersau,,
1575,Gevaud,,,,Javols,,
1576,Gh,Republic of Gh,3/6/1957,27000000,Accr,,92099mi
1577,Gh,,3/6/1957,,,,
1578,The Ancient Ghana Empir,,,,Koumbi Saleh,,
1579,Ghaznavids,,,,Ghazn,,
1580,Ghaznavids,,,,Lahore,,
1581,Ghurid Sultanat,,,,Her,,
1582,Ghurid Sultanat,,,,Firozkoh,,
1583,Ghurid Sultanat,,,,Ghazn,,
1584,Ghurid Sultanat,,,,Lahore,,
1585,Ninth Dynasty of Hùng kings,,,,Phong Châu,,
1586,Gibraltar,Gibraltar,1704-08-04,32194,,,2.6mi
1587,Gibraltar,Gibraltar,1713-04-11,32194,,,2.6mi
1588,Gilbert and Ellice Islands,,,,Taraw,,
1589,Giudicato di Arboré,,,,Oristano,,
1590,Giudicato di Arboré,,,,Sassar,,
1591,Giudicato di Arboré,,,,Tharros,,
1592,Giudicato of Cagliari,,,,Santa Ig,,
1593,Giudicato of Gallur,,,,Olb,,
1594,Giudicato of Logudoro,,,,"Ardara, Sardin",,
1595,Giudicato of Logudoro,,,,Porto Torres,,
1596,Giudicato of Logudoro,,,,Sassar,,
1597,Glacier Republic,,3/5/2014,100000,,,
1598,Glamorg,,,,,,
1599,,,10/6/2002,,,,
1600,,,1/1/2003,,,,
1601,Archipel des Glorieuses,Glorioso Islands,,,,,
1602,Glamorg,,,,Cardiff,,
1603,Glywysing,,,,Cardiff,,
1604,"Goa, Damão e Diu",,12/19/1961,,Panaj,,
1605,Goguryeo,,,,Jolbon,,
1606,Goguryeo,,,,Gungnae City,,
1607,Goguryeo,,,,Pyongyang,,
1608,Gojoseo,,,,Wanggeom-seong,,
1609,Gold Coast,,,,Accr,,
1610,Gold Coast,,,,Cape Coas,,
1611,Gold Coast Regio,Gold Coast,,25366462,,,238535km
1612,Ambrosian Republic,,,,Milan,,
1613,Golden Hord,,,,Sarai (city),,
1614,Gorizia and Gradisc,,1754-03-04,,Goriz,,
1615,Gorno-Altai,,10/25/1990,,Gorno-Altaysk,,
1616,Goryeo,,0918-06-15,,Ganghwado,,
1617,Goryeo,,0918-06-15,,Kaesong,,
1618,Goss Abbey,,,,,,
1619,Warsaw,,10/18/1915,,Warsaw,,
1620,Government of Free Viet,,4/30/1995,,"Garden Grove, Californ",,
1621,Government of Free Viet,,4/30/1995,,Californ,,
1622,Government of Free Viet,,4/30/1995,,Texas,,
1623,Government of Free Viet,,4/30/1995,,"Missouri City, Texas",,
1624,Government of National Salvatio,,8/29/1941,,Belgrade,,
1625,Hungary,,10/17/1944,,Budapes,,
1626,,(Dowlada Buntlaand),8/1/1998,,,,
1627,,Puntland Government,8/1/1998,,,,
1628,,(Dowlada Buntlaand),3/12/1998,,,,
1629,,Puntland Government,3/12/1998,,,,
1630,South Russi,,,,Sevastopo,,
1631,Abkhazi,Autonomous Republic of Abkhazi,4/9/1991,,Chkh,,
1632,Abkhazi,Autonomous Republic of Abkhazi,4/9/1991,,Sukhum,,
1633,Abkhazi,Autonomous Republic of Abkhazi,4/9/1991,,Tbilis,,
1634,Abkhazi,Autonomous Republic of Abkhazi,12/25/1991,,Chkh,,
1635,Abkhazi,Autonomous Republic of Abkhazi,12/25/1991,,Sukhum,,
1636,Abkhazi,Autonomous Republic of Abkhazi,12/25/1991,,Tbilis,,
1637,Ankara Government,,4/23/1920,,Ankar,,
1638,Bahi,,,,"Salvador, Bah",,
1639,Brazil,,,,"Salvador, Bah",,
1640,Rio de Janeiro,,,,Rio de Janeiro,,
1641,Ambo,,1605-02-22,,Fort Victor,,
1642,Chiloé,,,,Ancud,,
1643,Chiloé,,,,"Castro, Chile",,
1644,Castilla de Oro,,,,Baraco,,
1645,Dalmati,,4/17/1941,,Zadar,,
1646,Castilla de Oro,,,,Aragu,,
1647,New Castil,,,,Jauj,,
1648,New Castil,,,,Lim,,
1649,New Toledo,,,,Cusco,,
1650,Paraguay,,1617-12-16,,Asunción,,
1651,Banda Islands,,,,Fort Belg,,
1652,Banda Islands,,,,"Fort Nassau, Banda Islands",,
1653,Gozo,,1798-10-28,,"Victoria, Gozo",,
1654,Gran Colombi,,1821-12-17,,Bogotá,,
1655,Granadine Confederatio,,1858-05-22,,Bogotá,,
1656,,Grand Duchy of Avr,,,,,
1657,Bad,,,,Karlsruhe,,
1658,Berg,,1806-03-15,,Düsseldorf,,
1659,Finland,,1809-03-29,,Helsink,,
1660,Finland,,1809-03-29,,Turku,,
1661,Flandrensis,Grand Duchy of Flandrensis,9/4/2008,237,,,14890km
1662,Frankfurt,,1810-02-16,,Aschaffenburg,,
1663,Hess,,1806-08-13,,Darmstad,,
1664,Lithuani,,,,Senieji Trak,,
1665,Lithuani,,,,Vilnius,,
1666,Lithuani,,,,Voru,,
1667,Lithuani,,,,Kernavė,,
1668,Mecklenburg-Schweri,,1815-06-14,,Schwerin,,
1669,Mecklenburg-Strelitz,,,,Neustrelitz,,
1670,Muscovy,,,,Moscow,,
1671,Oldenburg,,,,Oldenburg (Oldenburg),,
1672,Saxe-Weimar-Eisenach,,,,Weimar,,
1673,Lagoan Isles,Grand Duchy of the Lagoan Isles,8/16/2005,,,,0.043km
1674,Tuscany,,1569-08-27,,Florence,,
1675,Westarctic,Protectorate of Westarctic,11/2/2001,,Peter I Island,,
1676,Würzburg,,1805-12-26,,Würzburg,,
1677,Serbi,,,,Stari Ras,,
1678,Grande Comor,Autonomous Island of Grande Comor,,316600,"Moroni, Comoros",,1025km
1679,Great Moravi,,,,,,
1680,Permyak,,,,"Cherdyn, Perm Kr",,
1681,Permyak,,,,Pokch,,
1682,Great Way Government,,12/5/1937,,Pudong,,
1683,Lebano,,,,Beiru,,
1684,Central Americ,,1896-09-15,,Am,,
1685,Greco-Bactrian Kingdo,,,,Ai-Khanoum,,
1686,Greco-Bactrian Kingdo,,,,Balkh,,
1687,Greec,Hellenic Republic,1821-03-25,10955000,Athens,,50949mi
1688,Greec,Hellenic Republic,1830-02-03,10955000,Athens,,50949mi
1689,Greec,,4/21/1967,,Athens,,
1690,Greenland,Greenland,,55847,,,836109mi
1691,Grenad,,3/3/1967,109590,"St. George's, Grenad",,132.8mi
1692,Grenad,,2/7/1974,109590,"St. George's, Grenad",,132.8mi
1693,Grey Leagu,,,,Ilanz,,
1694,Griqualand East,,,,Kokstad,,
1695,Gu,Territory of Gu,,161785,"Hagåtña, Guam",,210mi
1696,Gu,,,,Guancheng Hui Distr,,
1697,Gu,,,,Zhengzhou,,
1698,Guangzhouw,,1898-11-16,,Zhanjiang,,
1699,Guatemal,Republic of Guat,1821-09-15,15806675,Guatemala City,Guatemala ,42042mi
1700,Guatemal,Republic of Guat,1823-07-01,15806675,Guatemala City,Guatemala ,42042mi
1701,Guelders,,,,Geldern,,
1702,Guernsey,Jurisdiction of Guernsey,5/9/1945,65849,Saint Peter Por,,30.1mi
1703,Gui,Republic of Gui,10/2/1958,8746128,Conakry,,94926mi
1704,Guinea-Bissau,Republic of Guinea-Bissau,9/24/1973,1693398,Bissau,,13948mi
1705,Guinea-Bissau,Republic of Guinea-Bissau,9/10/1974,1693398,Bissau,,13948mi
1706,Gujarat Sultanat,,,,Ahmedabad,,
1707,Gujarat Sultanat,,,,"Patan, Gujar",,
1708,Gujarat Sultanat,,,,Champaner,,
1709,Gumi,,,,Quzhou,,
1710,Gumi,,,,Zhejiang,,
1711,Gupta Empir,,,,Pataliputr,,
1712,Gurgu,,,,Kahramanmaraş,,
1713,Pratihar,,,,Kannauj,,
1714,Gutenzell Abbey,,,,,,
1715,Akkad,,,,,,
1716,Guy,Co-operative Republic of Guy,,735554,"Georgetown, Guyan",,83000mi
1717,Guy,,5/26/1966,,"Georgetown, Guyan",,
1718,Guzhu,,,,,,
1719,Gy,,,,"Sampa, Ghan",,
1720,"Sindh, Balochistan, Gujarat",,,,,,
1721,,,1526-08-29,,Prague,,
1722,,,1526-08-29,,Vienn,,
1723,Netherlands,,,,Brussels,,
1724,pen is,,1516-01-23,,Madrid,,
